agent_count,seed,n_placed,placement_ok,n_cs1,n_cs6,n_cs11,max_steps,max_bfs_dist,goals_reached,goal_pct,goals_cs1,total_cs1,pct_cs1,goals_cs6,total_cs6,pct_cs6,goals_cs11,total_cs11,pct_cs11,soc,makespan,wait_pct,comp_time_ms,stuck_cs1,stuck_cs6,stuck_cs11,no_move_cs1,no_move_cs6,no_move_cs11,feasible,status
150,1,138,no,75,45,18,2868,1434,50,36.2,8,75,10.7,29,45,64.4,13,18,72.2,4632,284,13.1,120355.0,67,16,5,0,0,0,1,OK
150,2,138,no,75,45,18,2878,1439,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,?,OK
150,3,138,no,75,45,18,2620,1310,23,16.7,4,75,5.3,13,45,28.9,6,18,33.3,1430,143,37.9,120960.0,71,32,12,0,0,0,1,OK
150,4,138,no,75,45,18,2020,1010,61,44.2,31,75,41.3,17,45,37.8,14,18,77.8,12247,573,28.1,120768.0,44,28,4,0,0,0,1,OK
150,5,138,no,75,45,18,2390,1195,49,35.5,21,75,28.0,22,45,48.9,6,18,33.3,6662,384,23.3,120295.0,54,23,12,0,0,2,1,OK
150,6,138,no,75,45,18,2422,1211,72,52.2,37,75,49.3,20,45,44.4,15,18,83.3,13864,584,27.2,121018.0,38,25,3,0,0,0,1,OK
150,7,138,no,75,45,18,2754,1377,61,44.2,29,75,38.7,19,45,42.2,13,18,72.2,12886,544,26.6,120026.0,46,26,5,0,0,0,1,OK
150,8,138,no,75,45,18,2404,1202,56,40.6,31,75,41.3,18,45,40.0,8,18,44.4,10596,482,23.3,120424.0,44,27,10,0,0,1,1,OK
150,9,138,no,75,45,18,2248,1124,72,52.2,38,75,50.7,22,45,48.9,12,18,66.7,17693,639,24.1,120208.0,37,23,6,0,0,0,1,OK
200,0,178,no,100,60,18,2466,1233,59,33.1,27,100,27.0,21,60,35.0,11,18,61.1,9137,395,28.4,120200.0,73,39,7,0,0,0,1,OK
200,1,178,no,100,60,18,2170,1085,41,23.0,17,100,17.0,19,60,31.7,5,18,27.8,4417,241,24.6,120204.0,83,41,13,0,0,2,1,OK
200,2,178,no,100,60,18,2276,1138,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,?,OK
200,3,178,no,100,60,18,2264,1132,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,?,OK
200,4,178,no,100,60,18,2772,1386,61,34.3,34,100,34.0,17,60,28.3,10,18,55.6,10410,426,23.5,120270.0,66,43,8,0,0,0,1,OK
200,5,178,no,100,60,18,2436,1218,52,29.2,17,100,17.0,22,60,36.7,13,18,72.2,6474,302,35.1,120467.0,83,38,5,0,0,0,1,OK
200,6,178,no,100,60,18,2424,1212,55,30.9,23,100,23.0,18,60,30.0,15,18,83.3,9290,432,35.4,120022.0,77,42,3,0,0,0,1,OK
200,7,178,no,100,60,18,2806,1403,39,21.9,12,100,12.0,14,60,23.3,13,18,72.2,3105,265,37.6,120648.0,88,46,5,0,0,0,1,OK
200,8,178,no,100,60,18,2546,1273,30,16.9,8,100,8.0,10,60,16.7,12,18,66.7,2213,191,46.5,121135.0,92,50,6,0,0,0,1,OK
200,9,178,no,100,60,18,1892,946,63,35.4,33,100,33.0,14,60,23.3,16,18,88.9,9710,418,28.4,120582.0,67,46,2,0,0,0,1,OK
