agents=25
map_file=intersection_105.map
solver=het_lacam
solved=1
soc=2883
soc_lb=648
makespan=188
makespan_lb=91
sum_of_loss=2105
comp_time=884
seed=0
checkpoints=-1,
comp_time_initial_solution=869
cost_initial_solution=2149
search_iteration=9777
num_high_level_node=4079
num_low_level_node=35294
fleets=0:1:1:105:105;1:3:1:35:35;2:5:2:21:21;3:7:3:15:15
agent_fleet=3,3,3,3,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
starts=(8,6),(6,5),(7,6),(5,5),(13,10),(10,5),(13,13),(13,8),(17,28),(13,22),(5,17),(13,14),(18,12),(67,37),(52,20),(38,64),(55,8),(50,70),(42,57),(50,91),(51,17),(51,59),(61,67),(45,67),(54,33),
goals=(5,9),(5,8),(9,9),(8,8),(10,14),(12,9),(13,11),(11,8),(12,12),(19,22),(17,19),(16,18),(16,16),(54,86),(36,41),(48,40),(49,93),(40,41),(65,36),(54,34),(65,42),(83,51),(39,43),(45,51),(49,75),
solution=
0:(8,6),(6,5),(7,6),(5,5),(13,10),(10,5),(13,13),(13,8),(17,28),(13,22),(5,17),(13,14),(18,12),(67,37),(52,20),(38,64),(55,8),(50,70),(42,57),(50,91),(51,17),(51,59),(61,67),(45,67),(54,33),
1:(7,6),(5,5),(7,7),(5,6),(12,10),(10,5),(13,12),(12,8),(17,27),(14,22),(6,17),(14,14),(18,13),(67,38),(51,20),(38,63),(54,8),(50,69),(43,57),(50,90),(51,18),(51,58),(60,67),(45,66),(53,33),
2:(7,6),(5,5),(7,7),(5,6),(12,10),(10,5),(13,12),(12,8),(17,26),(15,22),(7,17),(14,15),(17,13),(66,38),(50,20),(39,63),(53,8),(49,69),(43,56),(51,90),(51,19),(51,57),(60,66),(45,65),(52,33),
3:(7,6),(5,5),(7,7),(5,6),(12,11),(10,5),(13,11),(12,8),(17,25),(15,22),(8,17),(14,16),(16,13),(65,38),(49,20),(39,62),(53,9),(49,68),(43,55),(52,90),(51,20),(51,56),(60,65),(45,64),(51,33),
4:(6,6),(5,6),(7,7),(5,7),(12,11),(10,5),(13,11),(11,8),(17,24),(15,22),(9,17),(14,17),(16,13),(64,38),(49,21),(39,61),(53,10),(48,68),(43,54),(52,89),(51,21),(52,56),(60,64),(45,63),(51,34),
5:(6,6),(5,6),(8,7),(5,7),(12,12),(10,6),(13,11),(11,8),(17,23),(15,21),(10,17),(15,17),(16,13),(63,38),(49,22),(40,61),(53,11),(47,68),(43,53),(52,88),(51,22),(52,55),(59,64),(45,62),(51,35),
6:(6,6),(5,6),(8,7),(5,7),(12,12),(10,6),(13,11),(11,8),(17,22),(16,21),(10,17),(16,17),(16,13),(63,39),(49,23),(40,60),(52,11),(46,68),(43,52),(52,87),(51,23),(52,54),(58,64),(45,61),(51,36),
7:(5,6),(5,5),(8,7),(5,7),(12,13),(10,6),(13,11),(11,8),(16,22),(17,21),(10,17),(16,18),(16,14),(63,40),(49,24),(40,59),(51,11),(46,67),(43,51),(52,86),(51,24),(52,53),(58,63),(45,60),(50,36),
8:(5,6),(5,5),(9,7),(5,7),(12,13),(10,6),(13,12),(11,8),(16,21),(18,21),(10,17),(16,18),(16,15),(63,41),(49,25),(41,59),(51,12),(45,67),(44,51),(53,86),(51,25),(53,53),(57,63),(45,59),(50,37),
9:(5,6),(5,5),(9,7),(5,7),(11,13),(10,6),(13,12),(11,8),(16,20),(18,20),(10,17),(16,18),(16,16),(63,42),(49,26),(41,58),(50,12),(44,67),(44,50),(53,85),(51,26),(54,53),(57,62),(45,58),(50,38),
10:(5,6),(5,5),(9,7),(5,7),(11,13),(10,7),(13,12),(11,8),(15,20),(18,20),(10,17),(16,18),(16,16),(62,42),(49,27),(41,57),(49,12),(43,67),(45,50),(54,85),(51,27),(54,52),(57,61),(45,57),(49,38),
11:(5,7),(5,6),(9,8),(5,8),(12,13),(10,7),(13,13),(11,8),(14,20),(18,21),(10,17),(16,18),(16,16),(61,42),(49,28),(42,57),(49,13),(42,67),(45,49),(54,84),(52,27),(54,51),(56,61),(45,56),(49,39),
12:(5,7),(5,6),(9,8),(5,8),(12,13),(10,8),(13,13),(11,8),(14,19),(18,22),(10,17),(16,18),(16,16),(61,43),(49,29),(42,56),(49,14),(41,67),(45,48),(54,83),(53,27),(55,51),(55,61),(45,55),(49,40),
