agents=25
map_file=corridor_speed_105.map
solver=het_lacam
solved=1
soc=4159
soc_lb=1786
makespan=326
makespan_lb=165
sum_of_loss=3831
comp_time=41
seed=0
checkpoints=-1,
comp_time_initial_solution=41
cost_initial_solution=3849
search_iteration=408
num_high_level_node=365
num_low_level_node=2004
fleets=0:1:1:105:105;1:3:1:35:35;2:5:2:21:21;3:7:3:15:15
agent_fleet=3,3,3,3,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
starts=(12,14),(11,3),(3,2),(12,2),(19,4),(3,6),(3,18),(4,18),(3,26),(1,7),(8,22),(4,28),(1,13),(81,103),(103,41),(11,46),(101,3),(14,7),(13,33),(102,53),(2,47),(16,17),(2,93),(26,5),(99,79),
goals=(2,5),(3,8),(13,13),(1,5),(0,5),(17,5),(19,1),(18,5),(27,6),(31,26),(31,20),(31,13),(32,21),(18,45),(27,66),(80,32),(9,76),(80,13),(89,5),(18,33),(79,3),(80,40),(99,31),(96,99),(11,67),
solution=
0:(12,14),(11,3),(3,2),(12,2),(19,4),(3,6),(3,18),(4,18),(3,26),(1,7),(8,22),(4,28),(1,13),(81,103),(103,41),(11,46),(101,3),(14,7),(13,33),(102,53),(2,47),(16,17),(2,93),(26,5),(99,79),
1:(12,13),(11,2),(4,2),(12,2),(19,5),(4,6),(3,17),(4,17),(4,26),(1,8),(8,21),(4,27),(2,13),(81,102),(103,42),(11,45),(100,3),(14,8),(13,32),(102,52),(2,46),(16,18),(2,92),(27,5),(98,79),
2:(12,13),(11,2),(4,2),(12,2),(19,5),(4,6),(3,17),(4,17),(4,25),(2,8),(8,20),(4,26),(3,13),(80,102),(102,42),(11,44),(99,3),(15,8),(13,31),(101,52),(2,45),(17,18),(2,91),(27,6),(97,79),
3:(12,13),(11,2),(4,2),(12,2),(18,5),(4,5),(3,16),(4,16),(4,24),(2,9),(8,19),(4,25),(4,13),(80,101),(102,43),(12,44),(98,3),(15,9),(13,30),(100,52),(2,44),(17,19),(3,91),(28,6),(96,79),
4:(12,12),(10,2),(5,2),(11,2),(18,5),(4,5),(3,16),(4,16),(4,23),(3,9),(8,18),(4,24),(5,13),(80,100),(102,44),(12,43),(97,3),(15,10),(14,30),(99,52),(3,44),(17,20),(3,90),(29,6),(95,79),
5:(12,12),(10,2),(5,2),(11,2),(17,5),(5,5),(4,16),(4,15),(4,22),(4,9),(8,17),(4,23),(6,13),(79,100),(101,44),(13,43),(96,3),(15,11),(15,30),(98,52),(4,44),(17,21),(4,90),(30,6),(94,79),
6:(12,12),(10,2),(5,2),(11,2),(17,5),(5,5),(4,16),(4,15),(5,22),(4,10),(8,16),(4,22),(7,13),(78,100),(100,44),(14,43),(96,4),(15,12),(15,29),(98,51),(5,44),(17,22),(4,89),(31,6),(94,78),
7:(12,11),(9,2),(6,2),(10,2),(16,5),(6,5),(4,15),(4,14),(5,21),(4,11),(9,16),(4,21),(8,13),(77,100),(100,45),(15,43),(95,4),(15,13),(16,29),(98,50),(5,43),(18,22),(5,89),(32,6),(93,78),
8:(12,11),(9,2),(6,2),(10,2),(16,5),(6,5),(4,15),(4,14),(6,21),(5,11),(10,16),(5,21),(8,14),(77,99),(99,45),(16,43),(95,5),(16,13),(16,28),(98,49),(5,42),(19,22),(6,89),(33,6),(92,78),
9:(12,11),(9,2),(6,2),(10,2),(15,5),(7,5),(4,14),(4,13),(6,20),(6,11),(11,16),(5,20),(9,14),(77,98),(99,46),(16,42),(95,6),(16,14),(17,28),(97,49),(5,41),(20,22),(6,88),(34,6),(91,78),
10:(12,10),(8,2),(7,2),(9,2),(15,5),(7,5),(4,14),(4,13),(7,20),(6,12),(12,16),(5,19),(10,14),(77,97),(99,47),(16,41),(95,7),(17,14),(18,28),(96,49),(6,41),(21,22),(7,88),(35,6),(90,78),
11:(12,10),(8,2),(7,2),(9,2),(14,5),(8,5),(4,13),(4,12),(7,19),(6,13),(13,16),(5,18),(11,14),(77,96),(98,47),(16,40),(95,8),(18,14),(18,27),(95,49),(7,41),(21,23),(7,87),(36,6),(90,77),
12:(12,10),(8,2),(7,2),(9,2),(14,5),(8,5),(4,13),(4,12),(8,19),(6,14),(14,16),(5,17),(12,14),(77,95),(98,48),(16,39),(95,9),(19,14),(19,27),(94,49),(8,41),(21,24),(8,87),(37,6),(89,77),
13:(11,10),(9,2),(8,2),(10,2),(13,5),(9,5),(4,12),(3,12),(8,18),(6,15),(15,16),(5,16),(13,14),(77,94),(98,49),(16,38),(94,9),(20,14),(19,26),(94,48),(8,40),(21,25),(8,86),(38,6),(88,77),
14:(11,10),(9,2),(8,2),(10,2),(13,5),(9,5),(4,12),(3,12),(8,17),(6,16),(16,16),(5,15),(14,14),(77,93),(98,50),(17,38),(94,10),(21,14),(20,26),(93,48),(8,39),(21,26),(9,86),(39,6),(88,76),
15:(11,10),(9,2),(8,2),(10,2),(12,5),(10,5),(4,11),(3,11),(8,16),(7,16),(17,16),(5,14),(15,14),(77,92),(98,51),(17,37),(94,11),(22,14),(21,26),(93,47),(8,38),(22,26),(9,85),(40,6),(87,76),
16:(11,9),(10,2),(9,2),(11,2),(12,5),(10,5),(4,11),(3,11),(9,16),(8,16),(18,16),(6,14),(16,14),(77,91),(97,51),(18,37),(94,12),(23,14),(21,25),(93,46),(9,38),(23,26),(10,85),(41,6),(87,75),
17:(11,9),(10,2),(9,2),(11,2),(11,5),(10,5),(4,10),(4,11),(10,16),(9,16),(19,16),(7,14),(17,14),(77,90),(97,52),(19,37),(93,12),(24,14),(21,24),(93,45),(9,37),(24,26),(10,84),(42,6),(87,74),
18:(11,9),(10,2),(9,2),(11,2),(11,5),(10,5),(4,10),(4,11),(11,16),(10,16),(20,16),(8,14),(18,14),(77,89),(97,53),(20,37),(93,13),(25,14),(21,23),(93,44),(9,36),(24,27),(10,83),(43,6),(87,73),
19:(11,8),(11,2),(10,2),(11,1),(10,5),(9,5),(4,9),(4,10),(12,16),(11,16),(21,16),(9,14),(19,14),(77,88),(96,53),(21,37),(92,13),(26,14),(21,22),(92,44),(10,36),(24,28),(10,82),(44,6),(87,72),
20:(11,8),(11,2),(10,2),(11,1),(10,5),(9,5),(4,9),(4,10),(13,16),(12,16),(22,16),(10,14),(20,14),(77,87),(96,54),(21,36),(91,13),(27,14),(22,22),(92,43),(10,35),(24,29),(11,82),(45,6),(86,72),
21:(11,8),(11,2),(10,2),(11,1),(9,5),(8,5),(4,8),(4,9),(14,16),(13,16),(23,16),(11,14),(21,14),(77,86),(95,54),(22,36),(91,14),(28,14),(23,22),(91,43),(10,34),(24,30),(11,81),(46,6),(85,72),
22:(11,7),(11,3),(11,2),(11,1),(9,5),(8,5),(4,8),(4,9),(15,16),(14,16),(24,16),(12,14),(22,14),(77,85),(94,54),(23,36),(91,15),(29,14),(24,22),(91,42),(11,34),(24,31),(11,80),(47,6),(84,72),
23:(11,7),(11,3),(11,2),(11,1),(8,5),(7,5),(4,8),(4,9),(16,16),(15,16),(24,16),(13,14),(23,14),(77,84),(93,54),(24,36),(91,16),(30,14),(24,21),(90,42),(12,34),(24,32),(11,79),(48,6),(83,72),
24:(11,7),(11,3),(11,2),(11,1),(8,5),(7,5),(4,8),(4,9),(17,16),(16,16),(24,16),(14,14),(24,14),(77,83),(92,54),(24,35),(90,16),(31,14),(24,20),(90,41),(12,33),(24,33),(11,78),(49,6),(82,72),
25:(11,6),(12,3),(11,3),(11,2),(7,5),(6,5),(4,7),(4,8),(18,16),(17,16),(24,16),(15,14),(24,14),(77,82),(91,54),(25,35),(89,16),(32,14),(24,19),(90,40),(12,32),(24,34),(12,78),(50,6),(82,71),
26:(11,6),(12,3),(11,3),(11,2),(7,5),(6,5),(4,7),(4,8),(19,16),(18,16),(24,16),(16,14),(24,14),(77,81),(90,54),(26,35),(88,16),(33,14),(24,18),(89,40),(12,31),(25,34),(13,78),(51,6),(82,70),
27:(11,6),(12,3),(11,3),(11,2),(6,5),(5,5),(4,6),(4,7),(20,16),(19,16),(24,16),(17,14),(24,14),(77,80),(89,54),(27,35),(87,16),(34,14),(25,18),(89,39),(12,30),(25,35),(13,77),(52,6),(81,70),
28:(11,5),(12,4),(12,3),(10,2),(6,5),(5,5),(4,6),(4,7),(21,16),(20,16),(25,16),(18,14),(25,14),(77,79),(88,54),(28,35),(87,17),(35,14),(26,18),(88,39),(13,30),(25,36),(13,76),(53,6),(81,69),
29:(11,5),(12,4),(12,3),(10,2),(6,5),(5,5),(4,5),(4,6),(22,16),(21,16),(26,16),(19,14),(26,14),(77,78),(87,54),(29,35),(87,18),(36,14),(26,17),(87,39),(13,29),(26,36),(13,75),(54,6),(81,68),
30:(11,5),(12,4),(12,3),(10,2),(6,5),(5,5),(4,5),(4,6),(23,16),(22,16),(27,16),(20,14),(27,14),(77,77),(86,54),(30,35),(86,18),(37,14),(27,17),(86,39),(13,28),(27,36),(13,74),(55,6),(80,68),
31:(11,4),(13,4),(12,4),(9,2),(6,5),(5,5),(4,4),(4,5),(24,16),(23,16),(27,17),(21,14),(28,14),(77,76),(85,54),(31,35),(85,18),(38,14),(28,17),(86,38),(13,27),(27,37),(14,74),(56,6),(79,68),
32:(11,4),(13,4),(12,4),(9,2),(6,5),(5,5),(4,4),(4,5),(25,16),(24,16),(27,18),(22,14),(29,14),(77,75),(84,54),(32,35),(84,18),(39,14),(28,16),(86,37),(14,27),(28,37),(15,74),(57,6),(79,67),
33:(11,4),(13,4),(12,4),(9,2),(7,5),(6,5),(4,3),(5,5),(26,16),(25,16),(27,19),(23,14),(30,14),(77,74),(83,54),(33,35),(84,19),(40,14),(29,16),(86,36),(15,27),(29,37),(16,74),(58,6),(78,67),
34:(11,3),(13,3),(13,4),(8,2),(7,5),(6,5),(4,3),(5,5),(26,15),(26,16),(27,20),(24,14),(30,15),(77,73),(82,54),(34,35),(83,19),(41,14),(30,16),(85,36),(15,26),(29,38),(17,74),(59,6),(78,66),
35:(11,3),(13,3),(13,4),(8,2),(8,5),(7,5),(5,3),(6,5),(26,14),(27,16),(28,20),(25,14),(31,15),(77,72),(81,54),(35,35),(82,19),(42,14),(30,15),(85,35),(15,25),(29,39),(18,74),(60,6),(78,65),
36:(11,3),(13,3),(13,4),(8,2),(8,5),(7,5),(5,3),(6,5),(27,14),(28,16),(29,20),(26,14),(32,15),(77,71),(80,54),(36,35),(82,20),(43,14),(31,15),(84,35),(16,25),(30,39),(19,74),(61,6),(78,64),
37:(11,3),(13,2),(13,5),(7,2),(9,5),(8,5),(5,3),(7,5),(27,13),(28,17),(30,20),(27,14),(32,16),(77,70),(79,54),(37,35),(81,20),(44,14),(32,15),(83,35),(17,25),(31,39),(20,74),(62,6),(78,63),
38:(12,3),(13,2),(13,5),(7,2),(9,5),(8,5),(6,3),(7,5),(27,12),(29,17),(31,20),(28,14),(32,17),(77,69),(78,54),(38,35),(81,21),(45,14),(32,14),(82,35),(18,25),(32,39),(20,73),(63,6),(77,63),
39:(12,3),(13,2),(13,5),(7,2),(10,5),(9,5),(6,3),(8,5),(27,12),(30,17),(31,20),(28,13),(32,18),(77,68),(77,54),(39,35),(81,22),(46,14),(33,14),(81,35),(18,24),(33,39),(20,72),(64,6),(77,62),
40:(12,3),(12,2),(13,6),(7,2),(10,5),(9,5),(7,3),(8,5),(27,11),(30,18),(31,20),(29,13),(32,19),(77,67),(76,54),(40,35),(81,23),(47,14),(34,14),(80,35),(18,23),(34,39),(20,71),(65,6),(77,61),
41:(12,3),(12,2),(13,6),(7,2),(11,5),(10,5),(7,3),(9,5),(27,10),(31,18),(31,20),(30,13),(32,20),(77,66),(75,54),(41,35),(80,23),(48,14),(35,14),(79,35),(19,23),(35,39),(20,70),(66,6),(77,60),
